Train acc 0.5428849902534113  Test acc 0.4665898617511521  train_loss 0.014184386469423771
Train acc 0.5662768031189084  Test acc 0.4251152073732719  train_loss 0.013797205872833729
Train acc 0.601364522417154  Test acc 0.4147465437788018  train_loss 0.013724185526371002
Train acc 0.584307992202729  Test acc 0.41244239631336405  train_loss 0.013682049699127674
Train acc 0.604775828460039  Test acc 0.4216589861751152  train_loss 0.013269738294184208
Train acc 0.6174463937621832  Test acc 0.48963133640552997  train_loss 0.013063423335552216
Train acc 0.5555555555555556  Test acc 0.4205069124423963  train_loss 0.01390183623880148
Train acc 0.5896686159844055  Test acc 0.4423963133640553  train_loss 0.013311393558979034
Train acc 0.628167641325536  Test acc 0.42972350230414746  train_loss 0.01276925764977932
Train acc 0.6301169590643275  Test acc 0.4412442396313364  train_loss 0.012714765034615993
Train acc 0.6247563352826511  Test acc 0.43317972350230416  train_loss 0.012730089947581291
